instance,balance_load,total_vehicles,safe_vehicles,p_safe
3l_cvrp01,0.43995109305019225,4.0,1.0,0.25
3l_cvrp02,0.41545715341469763,5.0,1.0,0.2
3l_cvrp03,0.28505148948995185,4.0,2.0,0.5
3l_cvrp04,0.2213107099319481,6.0,0.0,0.0
3l_cvrp05,0.45219337872122567,5.0,1.0,0.2
3l_cvrp06,0.41500958115406283,6.0,1.0,0.16666666666666666
3l_cvrp07,0.7263862660042669,5.0,0.0,0.0
3l_cvrp08,0.6363674126153621,6.0,1.0,0.16666666666666666
3l_cvrp09,0.5079011487053937,8.0,1.0,0.125
3l_cvrp10,0.5627294995892204,8.0,1.0,0.125
3l_cvrp11,0.3493529987415406,7.0,3.0,0.42857142857142855
3l_cvrp12,0.6519762314253397,9.0,1.0,0.1111111111111111
3l_cvrp13,0.27045013759751,7.0,2.0,0.2857142857142857
3l_cvrp14,0.5398987745597434,8.0,3.0,0.375
3l_cvrp15,0.30097137161638016,8.0,4.0,0.5
3l_cvrp16,0.5384571371572592,11.0,1.0,0.09090909090909091
3l_cvrp17,0.2973026966088699,14.0,7.0,0.5
